Id,ImportTS,Date,Open,High,Low,Close,Adjusted_close,Volume
8a63cbe94f2c12844157013a65b56b30,2023-06-20T00:51:18.295993,2022-06-20,3094,3138.75,3069,3112.4,3005.0308,1502769
b8c39e475c76fcb44e817d480efd7774,2023-06-20T00:51:18.295993,2022-06-21,3130,3237.75,3125.4,3211.95,3101.1466,2964461
cffcf03db27a7eea082d1a41140fec5a,2023-06-20T00:51:18.295993,2022-06-22,3199.9,3250.55,3183,3222.95,3111.7671,3336315
f4b2e87ecfc169c4d24204db7245bd4f,2023-06-20T00:51:18.295993,2022-06-23,3222.95,3318,3222.95,3308.8,3194.6555,3692578
c155b730c81f50e1faa2907cdd85a8aa,2023-06-20T00:51:18.295993,2022-06-24,3339,3345,3277.5,3293.1,3179.4971,2132118
168e4e747f4152ba0085212491b89a88,2023-06-20T00:51:18.295993,2022-06-27,3350,3362.9,3306.5,3314.7,3200.352,2037686
bfc2377d9331aa2a88bfd195e4d31add,2023-06-20T00:51:18.295993,2022-06-28,3307,3330,3272.6,3318.15,3203.683,1400046
1331b635ebc67d3f96be13f15b674995,2023-06-20T00:51:18.295993,2022-06-29,3271,3333,3271,3290.5,3176.9868,2133994
39e550f8595fe79452f013c076449a0e,2023-06-20T00:51:18.295993,2022-06-30,3272,3310.9,3255,3267.1,3154.3941,2719603
4b37d3235c3262215ee161818cfdd30c,2023-06-20T00:51:18.295993,2022-07-01,3260,3333,3252.05,3315.1,3200.7382,1502879
ab317d4f553cb14ea9de9fcbf33d9679,2023-06-20T00:51:18.295993,2022-07-04,3312,3317.95,3225.05,3235.05,3123.4497,2622535
e13d59f6bbe963131da501038fe04fce,2023-06-20T00:51:18.295993,2022-07-05,3255,3272,3206.95,3216.3,3105.3465,2170627
4e15666c66523ba532b2cdf3c3241ea8,2023-06-20T00:51:18.295993,2022-07-06,3218.5,3268.5,3202.25,3260.75,3148.2631,2182144
5281ea2aa1ae9ea869b121f2bf93e91a,2023-06-20T00:51:18.295993,2022-07-07,3271,3319.4,3265.05,3287.85,3174.4282,1989921
1239f73ed582f188bb4ad1ff54f3ac1a,2023-06-20T00:51:18.295993,2022-07-08,3300,3305,3250,3265.45,3152.801,2136916
85f11e59e59a5ca3ecd76bcb59be5879,2023-06-20T00:51:18.295993,2022-07-11,3206.15,3225,3106,3113.8,3006.3825,6974600
eb8fd56216e548c5af9107ded8498a39,2023-06-20T00:51:18.295993,2022-07-12,3114.9,3136.2,3080.25,3084.7,2978.2863,3734815
54d567d9be634db1398b5ee6d15e7343,2023-06-20T00:51:18.295993,2022-07-13,3104,3110,3035,3038.75,2933.9215,3863530
690e6403bcee296594e80f39ab4e6323,2023-06-20T00:51:18.295993,2022-07-14,3056,3057,2967,2998.75,2902.9439,4764908
dff89ee055b21667267b73b56e611370,2023-06-20T00:51:18.295993,2022-07-15,3018.55,3028.9,2953,2994.6,2898.9264,4574806
da54a7e3997feae3d7876f48cc408192,2023-06-20T00:51:18.295993,2022-07-18,3023,3076.95,3014.3,3063.5,2965.6252,3202795
f35026792800a0513afe3be28b58da0b,2023-06-20T00:51:18.295993,2022-07-19,3030.05,3078.95,3030.05,3074.25,2976.0317,1865074
4808554ecdc63d22788c75916abbdbd0,2023-06-20T00:51:18.295993,2022-07-20,3107.8,3171.95,3098.05,3164.8,3063.6888,3402251
93455705693a8b02097064161efdf94a,2023-06-20T00:51:18.295993,2022-07-21,3167,3184,3144.05,3177.3,3075.7894,2420640
d12cb2271ab2c52f244b6693e3857cc7,2023-06-20T00:51:18.295993,2022-07-22,3185,3197,3143.5,3171,3069.6907,2075886
f663a799f5a80fd638d3d597149c368b,2023-06-20T00:51:18.295993,2022-07-25,3165,3186.45,3149.1,3166.75,3065.5765,1797504
8db575cd46ccf35b050be5e9463c32bf,2023-06-20T00:51:18.295993,2022-07-26,3164.7,3168.9,3096.5,3115.9,3016.3511,2639367
